Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2024-07-02 00:00:00+05:30,320.0,324.79998779296875,306.70001220703125,317.8999938964844,49362110,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-03 00:00:00+05:30,323.0,339.29998779296875,323.0,334.8999938964844,14342875,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-04 00:00:00+05:30,339.0,344.8999938964844,331.20001220703125,334.1499938964844,5414930,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-05 00:00:00+05:30,333.75,346.8999938964844,333.0,344.04998779296875,4231227,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-08 00:00:00+05:30,347.0,347.3500061035156,337.54998779296875,340.25,2306336,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-09 00:00:00+05:30,340.0,345.5,332.04998779296875,334.75,1815140,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-10 00:00:00+05:30,337.0,338.0,316.5,330.8999938964844,2894014,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-11 00:00:00+05:30,332.5,339.70001220703125,326.1000061035156,335.29998779296875,1768224,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-12 00:00:00+05:30,337.0,339.79998779296875,327.54998779296875,329.29998779296875,1742750,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-15 00:00:00+05:30,330.1499938964844,332.70001220703125,320.79998779296875,322.04998779296875,920342,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-16 00:00:00+05:30,322.6499938964844,326.8500061035156,318.0,319.0,751041,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-18 00:00:00+05:30,318.8999938964844,321.0,308.79998779296875,310.20001220703125,943866,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-19 00:00:00+05:30,310.20001220703125,314.54998779296875,299.1000061035156,303.70001220703125,1447369,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-22 00:00:00+05:30,302.95001220703125,307.5,289.8999938964844,292.79998779296875,1856715,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-23 00:00:00+05:30,291.0,306.8999938964844,282.04998779296875,296.75,3981710,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-24 00:00:00+05:30,300.0,314.8999938964844,297.5,309.8500061035156,2551603,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-25 00:00:00+05:30,307.0,314.6499938964844,303.8999938964844,310.8500061035156,764199,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-26 00:00:00+05:30,315.0,319.8500061035156,312.0,314.6000061035156,612876,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-29 00:00:00+05:30,315.95001220703125,323.70001220703125,311.04998779296875,313.1499938964844,902332,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-30 00:00:00+05:30,313.25,317.0,306.1000061035156,307.75,1021400,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
2024-07-31 00:00:00+05:30,308.0,312.8500061035156,306.6000061035156,308.20001220703125,588676,0.0,0.0,ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,121464283136,59.546722,,0.84,454.8,279.0
